F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Class
20.397,0.511,33.569,0.293,0.298,0.878,2.846,0.263,1.596,1.722,2.012,4.788,0
24.764,0.247,16.118,0.124,0.123,0.373,2.119,0.188,0.88,1.229,2.425,2.64,1
16.993,0.54,50.317,0.275,0.336,0.826,4.991,0.455,2.614,3.15,3.875,7.843,0
17.254,0.447,23.651,0.22,0.24,0.661,4.851,0.449,2.68,3.034,3.494,8.04,1
16.993,0.54,50.317,0.275,0.336,0.826,4.991,0.455,2.614,3.15,3.875,7.843,0
11.798,1.383,144.484,0.811,0.774,2.433,9.23,0.813,5.383,5.509,6.029,16.148,1
26.031,0.221,14.867,0.106,0.114,0.317,1.808,0.158,0.99,1.049,1.448,2.97,0
22.689,0.277,18.954,0.156,0.167,0.467,2.119,0.185,1.173,1.351,1.647,3.519,1
20.168,0.344,26.209,0.167,0.171,0.502,2.109,0.184,1.15,1.311,1.644,3.45,0
16.853,0.677,41.334,0.408,0.388,1.225,3.475,0.302,1.974,2.14,2.534,5.921,1
8.545,0.708,65.435,0.393,0.409,1.18,11.498,0.993,6.426,7.252,7.85,19.278,0
19.048,0.602,40.046,0.331,0.364,0.992,5.452,0.61,3.172,3.294,3.44,9.517,1
10.055,0.548,53.641,0.302,0.344,0.907,10.544,1.015,5.263,6.189,7.426,15.79,0
14.447,1.335,79.343,0.737,0.72,2.21,7.736,0.767,3.643,4.28,5.885,10.929,1
22.183,0.22,11.04,0.119,0.121,0.357,3.391,0.299,1.765,2.062,2.81,5.295,0
24.189,0.376,15.97,0.193,0.206,0.578,2.361,0.246,1.156,1.36,1.965,3.469,1
18.79,0.273,14.622,0.148,0.157,0.445,4.219,0.382,2.404,2.44,2.879,7.213,0
13.595,0.6,32.044,0.349,0.36,1.046,5.919,0.518,3.315,3.708,4.309,9.945,1
15.07,0.499,26.061,0.298,0.289,0.894,4.837,0.428,2.593,3.112,3.697,7.779,0
18.565,0.322,14.107,0.191,0.191,0.573,3.56,0.31,2.015,2.263,2.562,6.045,1
21.789,0.26,15.826,0.11,0.133,0.329,3.066,0.279,1.628,1.92,2.555,4.884,0
22.681,0.189,6.344,0.107,0.115,0.322,3.81,0.349,2.122,2.353,2.718,6.367,1
19.274,0.367,31.818,0.155,0.183,0.464,2.982,0.261,1.659,1.843,2.186,4.976,0
18.339,0.32,15.201,0.186,0.189,0.558,4.055,0.361,2.196,2.535,3.418,6.588,1
25.044,0.231,10.037,0.13,0.13,0.389,3.184,0.278,1.76,2.098,2.222,5.28,0
20.161,0.308,17.037,0.163,0.168,0.489,2.862,0.252,1.499,1.828,2.518,4.497,1
24.2,0.372,15.8,0.191,0.205,0.574,2.358,0.243,1.155,1.36,1.964,3.466,0
18.972,0.378,18.707,0.224,0.223,0.673,5.301,0.468,3.004,3.403,3.786,9.011,1
16.087,0.524,35.668,0.303,0.313,0.909,4.674,0.409,2.684,3.026,3.367,8.053,0
15.616,0.556,26.168,0.333,0.34,0.998,7.236,0.627,4.224,4.638,4.884,12.672,1
16.121,0.605,27.612,0.354,0.379,1.062,7.276,0.636,4.137,4.696,5.006,12.41,0
18.3,0.472,19.924,0.294,0.26,0.883,3.912,0.376,2.294,2.414,2.576,6.882,1
15.488,0.512,27.264,0.302,0.28,0.905,6.28,0.552,3.602,3.854,4.249,10.806,0
23.992,0.222,10.114,0.116,0.136,0.348,2.105,0.187,1.046,1.216,1.842,3.139,1
17.832,0.649,36.907,0.298,0.307,0.895,5.551,0.509,2.969,3.378,4.49,8.907,0
19.268,0.574,26.868,0.357,0.317,1.071,2.888,0.252,1.633,1.777,2.023,4.9,1
18.499,0.44,20.269,0.259,0.263,0.778,4.239,0.379,2.357,2.611,2.969,7.07,0
23.351,0.237,10.972,0.134,0.141,0.403,2.489,0.216,1.336,1.649,2.065,4.009,1
18.622,0.447,24.805,0.248,0.268,0.745,4.626,0.417,2.345,2.803,3.995,7.035,0
20.354,0.28,11.985,0.156,0.16,0.467,4.31,0.386,2.422,2.737,3.119,7.267,1
10.164,1.305,93.854,0.802,0.735,2.407,9.643,0.847,5.372,5.972,6.78,16.117,0
22.578,0.27,13.546,0.158,0.155,0.473,2.901,0.26,1.685,1.655,2.079,5.054,1
